VehicleID,CustomerGrade,AuctionPurchaseDate,AuctionPurchaseAmount,AuctionSaleDate,AuctionSaleAmount,VehicleType,Year,Make,Model,Trim,BodyType,AuctionPurchaseOdometer,AutomaticTransmission,DriveType
366,B,2012-01-12,7675,2015-03-06,3311,SUV,2003,Chevrolet,TrailBlazer,EXT LT,SUV,99505,1,NA
486,C,2012-03-29,7075,2015-05-21,1025,Car,2007,Chrysler,PT Cruiser,Base,Wagon,74411,1,NA
2928,C,2013-12-06,6995,2015-04-29,4870,Car,2009,Ford,Focus,SE,Sedan,83294,1,FWD
4779,C,2012-01-12,8065,2015-05-26,3240,Car,2006,Chevrolet,Impala,LT,Sedan,75926,1,NA
31646,A,2014-06-17,8525,2015-06-18,5120,SUV,2008,Ford,Escape,XLT,SUV,108225,1,AWD
6871,C,2013-11-19,7260,2015-08-25,760,Car,2008,Dodge,Avenger,SE,Sedan,95512,1,FWD
28660,A,2012-07-17,9510,2015-02-05,5641,Car,2007,Chrysler,300,Base,Sedan,126775,1,NA
13766,C,2012-07-12,6010,2015-05-06,1692.51,SUV,2003,Chevrolet,TrailBlazer,LS,SUV,116546,1,NA
35555,A,2015-04-09,6400,2015-11-25,4172,SUV,2008,Chevrolet,Equinox,LS,SUV,92434,1,FWD
10177,C,2011-09-14,4975,2015-01-22,195,Car,2002,Mercury,Sable,LS Premium,Wagon,155615,1,NA
18588,B,2015-03-20,9445,2015-12-09,7395.5,Car,2013,Toyota,Yaris,5-Door LE,Hatchback,60638,1,FWD
26306,B,2012-11-28,9345,2015-03-30,4418,Car,2011,Ford,Focus,SE,Sedan,53463,1,NA
30642,C,2013-01-17,7440,2015-12-17,1357,SUV,2008,Jeep,Patriot,Sport,SUV,71834,1,NA
28189,C,2014-06-11,9440,2015-02-13,1622,Car,2006,Cadillac,CTS,Base,Sedan,98317,1,RWD
34072,C,2013-07-02,9665,2015-02-19,6293.1,Car,2008,Chrysler,300,LX,Sedan,84606,1,RWD
1119,C,2012-10-25,10750,2015-07-01,2880,Car,2011,Nissan,cube,1.8 S,Wagon,46507,1,FWD
13855,B,2012-08-31,8540,2015-09-09,2477,Car,2009,Saturn,Aura,XE,Sedan,93185,1,NA
28946,A,2013-01-29,5565,2015-03-12,942.23,Van,2007,Ford,Freestar,SE,Mini-Van,89063,1,FWD
34525,B,2014-02-04,8930,2015-12-03,1559,Car,2010,Chevrolet,Malibu,LS Fleet,Sedan,74722,1,FWD
17961,C,2014-02-20,11880,2015-06-18,9141.5,Car,2007,BMW,3 Series,328i,Sedan,88326,1,RWD
17985,C,2014-03-05,7840,2015-12-09,2567,Van,2008,Dodge,Grand Caravan,SE,Mini-Van,91858,1,FWD
6950,C,2013-12-06,7255,2015-01-13,6222.22,Car,2008,Pontiac,G6,Base,Sedan,92910,1,FWD
2464,B,2013-09-12,6540,2015-02-18,4278.25,Car,2008,Pontiac,G6,Value Leader,Sedan,100698,1,FWD
22323,B,2012-07-03,7010,2015-09-15,3500.4,Car,2008,Toyota,Corolla,CE,Sedan,116089,1,NA
1893,B,2013-05-10,9360,2015-12-23,4682,Car,2007,Nissan,Altima,2.5 S,Sedan,75099,1,NA
11388,A,2013-08-23,6995,2015-12-11,3672,Car,2008,Chevrolet,HHR,LT,Wagon,94211,1,FWD
34197,A,2013-09-11,8225,2015-12-10,2844,SUV,2006,Jeep,Liberty,Limited,SUV,84612,1,4WD
31243,B,2013-12-17,9825,2015-12-17,1969,Car,2011,Chevrolet,Malibu,LS,Sedan,41055,1,FWD
359,B,2012-01-12,7395,2015-10-15,1978.5,Car,2007,Chevrolet,Impala,LT,Sedan,96885,1,NA
24504,B,2014-01-30,7250,2015-04-14,5823.5,Car,2008,Nissan,Altima,2.5 S,Sedan,96775,1,FWD
1380,C,2012-12-21,10040,2015-10-07,3312,Car,2009,Chevrolet,Malibu,LT1,Sedan,80314,1,NA
32825,D,2013-08-19,7900,2015-03-24,4514.5,Car,2008,Ford,Focus,SE,Sedan,75723,1,FWD
17423,C,2013-07-31,10040,2015-09-09,3692.2,Car,2009,Nissan,Rogue,S,Wagon,82230,1,FWD
12962,D,2013-07-26,5440,2015-09-04,1502,Car,2005,Chevrolet,Malibu,LS,Sedan,101222,1,FWD
13906,C,2012-09-25,5470,2015-05-06,2650,SUV,2007,Jeep,Liberty,Sport,SUV,124431,1,NA
601,C,2012-05-31,8985,2015-09-24,1254,SUV,2009,Dodge,Journey,SE,SUV,83778,1,NA
12020,B,2014-05-22,9340,2015-11-13,5691.51,Car,2007,Cadillac,CTS,Base,Sedan,82472,1,RWD
25213,A,2014-06-20,9440,2015-05-12,5500.39,Truck,2004,Ford,F-150,FX4,Pickup,118970,1,4WD
21530,C,2014-09-18,7440,2015-08-20,4181.95,Car,2010,Kia,Optima,LX,Sedan,84976,1,FWD
28482,A,2012-01-05,7975,2015-04-24,1911,SUV,2005,Mercury,Mountaineer,Convenience,SUV,86241,1,NA
7706,B,2014-06-26,8410,2015-03-03,6228,Car,2009,Nissan,Altima,2.5 S,Sedan,88731,1,FWD
28590,A,2012-05-24,7910,2015-10-21,5352,Truck,2003,Chevrolet,Silverado 1500,LS,Pickup,116358,1,NA
19604,B,2013-09-25,9870,2015-09-03,3142,Car,2011,Hyundai,Sonata,GLS,Sedan,77840,1,FWD
8778,B,2012-09-12,9485,2015-07-16,449.5,Car,2006,INFINITI,G35,Base,Sedan,122919,1,NA
4507,C,2011-08-10,8905,2015-05-26,2636.84,Car,2006,Chevrolet,Impala,LT,Sedan,124767,1,NA
26107,A,2011-12-27,10200,2015-04-28,2953,Car,2010,Chrysler,Sebring,Touring,Sedan,40179,1,NA
26327,C,2013-01-03,11275,2015-01-28,4670,Car,2006,Mercedes-Benz,C-Class,C 280 Luxury 4MATIC,Sedan,95413,1,NA
2052,B,2013-06-13,8510,2015-09-30,2987,SUV,2004,Cadillac,SRX,Base,SUV,85116,1,AWD
24098,B,2013-10-24,9960,2015-01-30,5918,SUV,2005,Toyota,Highlander,Base,SUV,74837,1,AWD
