FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
1,166,61,NA,3,NA,NA,1,0
0,184,82,33,0,56,2,400,0
1,177,9,NA,0,NA,NA,400,0
0,349,212,40,0,97,3,90,0
0,144,60,49,0,49,0,30,0
1,237,126,38,3,38,1,400,0
1,346,284,122,0,122,0,1,0
1,219,114,12,1,54,0,400,0
0,33,4,NA,0,NA,NA,1,1
0,314,314,38,3,74,2,30,0
0,314,80,35,0,35,0,400,0
0,193,155,75,0,101,2,1,0
0,213,210,120,0,127,0,400,0
1,269,124,NA,0,NA,NA,400,0
0,31,31,NA,0,NA,NA,400,0
0,264,17,NA,0,NA,NA,400,0
0,118,120,NA,1,NA,NA,60,0
0,39,NA,NA,NA,NA,NA,NA,0
0,238,106,11,0,38,1,400,0
0,210,65,NA,0,NA,NA,400,0
0,180,94,NA,0,NA,NA,400,0
0,77,NA,NA,NA,NA,NA,NA,0
0,175,149,60,0,69,0,400,0
0,33,21,NA,0,NA,NA,1,0
0,125,100,15,0,58,1,1,0
1,314,97,NA,0,NA,NA,1,0
0,277,128,44,0,78,0,400,0
0,54,58,NA,0,NA,NA,1,0
1,364,58,58,0,58,0,1,0
0,357,170,14,0,71,4,400,0
0,237,86,NA,2,NA,NA,400,0
0,305,161,53,0,53,0,1,1
1,182,166,80,0,114,0,400,0
1,270,73,73,0,73,0,1,0
1,103,96,NA,0,NA,NA,1,0
0,375,367,76,1,121,2,1,0
1,24,NA,NA,0,NA,NA,NA,0
1,247,143,11,0,68,7,120,0
1,323,127,NA,0,NA,NA,400,0
0,377,37,27,0,27,1,1,0
0,209,96,96,0,96,0,60,0
0,362,101,18,0,52,0,1,0
1,354,58,NA,0,NA,NA,400,0
0,225,23,NA,0,NA,NA,400,0
0,125,96,19,0,38,0,30,0
1,307,26,NA,0,NA,NA,400,0
1,217,141,5,2,74,3,400,0
0,1,NA,NA,0,NA,NA,NA,1
0,228,290,5,0,36,1,400,0
1,162,NA,NA,0,NA,NA,NA,0
0,273,117,93,0,98,2,400,1
1,315,64,NA,0,NA,NA,1,0
0,227,132,28,1,92,2,1,0
1,172,168,NA,4,NA,NA,400,1
0,113,109,75,3,88,0,90,0
0,103,61,NA,0,NA,NA,1,0
0,42,18,NA,0,NA,NA,1,0
0,211,152,118,0,122,2,400,0
1,214,182,64,0,64,0,400,0
0,22,NA,NA,0,NA,NA,NA,0
0,209,192,93,1,128,1,1,0
0,195,113,NA,0,NA,NA,1,0
0,184,173,27,0,71,3,400,0
