FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,344,164,77,0,103,7,30,0
0,352,192,NA,0,NA,NA,1,0
1,302,NA,NA,1,NA,NA,NA,0
1,56,7,NA,0,NA,NA,1,0
0,289,238,13,0,82,2,1,0
0,373,81,81,0,81,1,1,0
1,139,139,58,2,81,3,400,0
0,158,56,NA,0,NA,NA,1,0
1,61,62,NA,0,NA,NA,120,0
0,306,33,16,0,25,2,1,1
0,202,127,50,0,97,1,30,0
0,351,155,89,0,89,0,1,0
1,281,219,18,0,77,1,1,0
0,247,132,22,2,22,1,400,1
1,262,257,NA,0,NA,NA,1,0
0,376,100,NA,0,NA,NA,400,0
1,379,212,17,0,44,1,120,0
0,295,154,37,1,68,2,400,0
0,289,163,19,0,82,4,30,0
0,148,NA,NA,0,NA,NA,NA,0
0,75,NA,NA,0,NA,NA,NA,0
0,257,241,42,0,88,2,1,0
1,105,100,81,0,88,0,1,0
1,27,28,15,1,22,0,30,0
0,74,24,NA,0,NA,NA,1,0
0,353,234,NA,0,NA,NA,1,0
0,334,165,114,0,136,1,400,0
1,341,139,88,0,93,2,1,0
0,160,48,22,0,22,0,400,0
0,99,61,NA,2,NA,NA,90,0
0,186,NA,NA,0,NA,NA,NA,0
0,337,154,61,1,93,2,1,0
1,41,43,NA,0,NA,NA,400,0
0,235,64,19,1,19,0,30,0
0,186,136,51,0,84,1,400,0
1,141,60,60,0,60,0,1,0
0,219,168,NA,0,NA,NA,1,0
0,343,347,75,1,99,2,400,0
0,94,46,NA,0,NA,NA,1,0
1,377,261,NA,0,NA,NA,1,0
0,114,111,16,0,35,0,400,0
0,227,185,15,1,77,1,400,0
1,381,116,90,0,92,1,1,0
0,119,74,49,0,49,0,400,0
0,318,163,3,0,33,9,60,0
1,27,27,NA,0,NA,NA,1,0
0,194,43,15,0,15,1,120,0
0,203,63,NA,0,NA,NA,400,0
0,172,116,25,0,67,6,400,0
1,354,129,NA,1,NA,NA,400,0
0,257,NA,NA,NA,NA,NA,NA,0
0,16,16,NA,0,NA,NA,1,0
1,89,90,52,1,52,0,400,0
0,305,257,76,0,98,1,400,0
0,329,152,104,1,128,1,1,0
0,237,94,94,0,94,0,400,0
1,353,103,103,0,103,0,400,0
1,218,104,NA,0,NA,NA,1,0
0,298,162,104,0,136,3,120,0
0,143,116,19,0,79,0,90,0
1,261,72,44,0,58,0,1,0
0,44,29,NA,1,NA,NA,120,0
1,19,19,NA,0,NA,NA,1,0
0,321,201,NA,0,NA,NA,120,1
0,253,119,71,0,71,0,400,0
0,NA,NA,NA,0,NA,NA,NA,NA
0,175,122,NA,0,NA,NA,1,0
0,142,138,90,0,114,2,1,0
1,197,100,42,1,42,0,400,0
0,78,NA,NA,0,NA,NA,NA,0
1,170,73,21,0,39,1,120,0
1,250,243,NA,1,NA,NA,400,0
1,314,83,29,0,51,0,1,0
1,17,NA,NA,NA,NA,NA,NA,0
0,96,96,90,1,90,0,400,0
0,181,103,NA,0,NA,NA,1,0
0,316,81,63,0,71,1,400,0
1,56,38,38,0,38,0,1,0
0,354,126,29,3,29,1,400,0
0,158,51,NA,0,NA,NA,90,0
0,177,44,NA,0,NA,NA,1,0
0,167,NA,NA,0,NA,NA,NA,0
1,240,NA,NA,0,NA,NA,NA,0
0,258,109,100,0,100,1,1,0
1,112,NA,NA,0,NA,NA,NA,0
1,37,37,NA,0,NA,NA,400,0
0,231,244,NA,0,NA,NA,400,0
0,171,110,NA,0,NA,NA,400,0
0,163,136,43,2,80,1,400,0
1,130,107,84,0,92,1,400,0
0,98,93,78,0,78,1,400,0
1,24,NA,NA,0,NA,NA,NA,1
1,265,179,100,0,116,2,400,0
0,347,191,42,0,82,2,30,0
0,363,150,28,0,71,1,400,0
0,308,168,133,1,133,0,1,0
0,278,88,78,0,78,0,400,0
1,220,NA,NA,1,NA,NA,NA,0
0,327,230,14,0,28,1,400,1
1,334,208,88,0,88,0,1,0
0,34,36,NA,0,NA,NA,1,0
1,190,2,NA,0,NA,NA,1,0
1,179,45,NA,1,NA,NA,400,0
0,324,188,45,0,45,0,1,0
1,119,37,NA,1,NA,NA,1,0
0,184,148,11,0,61,2,400,0
0,85,85,NA,0,NA,NA,1,0
0,67,10,NA,0,NA,NA,1,0
0,34,28,NA,0,NA,NA,1,0
0,139,92,NA,0,NA,NA,400,0
1,152,43,NA,1,NA,NA,1,0
1,51,33,NA,0,NA,NA,400,0
1,159,NA,NA,1,NA,NA,NA,0
1,358,255,2,1,84,6,1,0
1,51,47,NA,0,NA,NA,400,1
0,238,213,54,0,74,3,1,0
0,165,84,84,0,84,1,1,0
0,273,247,NA,0,NA,NA,400,0
1,114,50,NA,0,NA,NA,400,1
0,265,NA,NA,0,NA,NA,NA,0
0,92,81,10,0,10,1,400,0
0,161,134,98,2,116,1,1,0
0,305,114,88,0,103,0,400,0
0,141,82,NA,0,NA,NA,1,0
0,145,83,NA,0,NA,NA,1,0
1,295,156,77,0,115,1,400,0
0,372,125,56,0,93,3,400,0
0,202,223,59,0,93,4,30,0
0,257,106,105,0,105,0,1,0
0,345,275,22,0,90,3,400,1
0,273,NA,NA,0,NA,NA,NA,0
0,399,91,NA,0,NA,NA,400,0
0,229,162,NA,0,NA,NA,1,0
0,90,41,NA,0,NA,NA,1,0
1,169,161,94,1,94,0,1,0
0,347,127,38,0,92,1,400,0
0,153,134,NA,0,NA,NA,400,0
1,29,30,NA,0,NA,NA,400,0
0,88,85,47,0,47,0,400,0
1,38,35,NA,0,NA,NA,400,0
1,296,98,64,0,71,0,400,0
1,347,368,10,0,39,0,60,0
0,168,134,11,0,85,2,400,0
0,324,111,64,0,82,3,1,0
1,53,48,NA,1,NA,NA,90,0
0,380,87,84,0,84,0,400,0
0,213,58,49,0,49,1,1,0
0,121,NA,NA,0,NA,NA,NA,0
1,99,91,40,2,40,0,60,0
1,161,145,113,0,123,2,400,0
0,126,80,NA,2,NA,NA,400,0
0,183,112,53,0,74,3,400,0
1,225,79,43,1,61,1,400,1
1,252,237,NA,0,NA,NA,1,0
0,283,156,48,0,94,0,1,0
1,29,24,NA,1,NA,NA,400,0
0,285,92,NA,1,NA,NA,90,0
0,266,187,NA,0,NA,NA,400,0
0,211,99,NA,0,NA,NA,1,0
1,206,153,52,0,52,0,120,1
0,182,27,NA,1,NA,NA,1,0
0,234,75,40,1,40,1,400,0
1,266,78,NA,0,NA,NA,1,0
1,243,208,17,0,68,3,400,0
0,295,113,44,2,70,2,1,0
1,312,149,73,0,85,1,1,0
0,271,439,99,0,99,1,400,0
1,15,15,NA,0,NA,NA,1,0
0,144,93,92,0,92,0,1,0
0,339,93,NA,0,NA,NA,60,1
1,122,90,NA,0,NA,NA,400,0
0,358,85,85,0,85,1,1,0
0,316,116,62,0,66,1,1,0
0,36,36,26,0,26,0,400,1
0,159,80,33,0,57,1,400,0
1,296,121,55,1,73,1,1,0
0,264,223,76,0,86,0,120,0
0,95,93,NA,0,NA,NA,1,0
0,277,233,NA,2,NA,NA,1,0
1,3,NA,NA,0,NA,NA,NA,0
0,220,190,29,0,29,1,400,0
0,269,160,NA,0,NA,NA,400,0
0,102,97,14,0,14,1,1,0
0,236,141,94,0,94,0,1,0
1,116,24,NA,0,NA,NA,1,0
0,92,NA,NA,0,NA,NA,NA,0
1,118,114,23,1,66,1,400,1
1,300,182,86,1,86,0,1,0
0,262,NA,NA,0,NA,NA,NA,0
1,320,20,NA,0,NA,NA,1,0
0,313,88,NA,0,NA,NA,1,0
0,296,221,37,0,68,0,120,0
0,377,187,67,0,115,2,400,0
1,84,82,23,0,53,0,60,0
0,201,213,53,0,53,1,1,0
0,158,NA,NA,0,NA,NA,NA,1
0,155,NA,NA,NA,NA,NA,NA,0
0,219,219,NA,0,NA,NA,400,0
0,242,98,55,0,65,1,1,0
0,196,162,101,0,101,0,400,1
0,152,174,NA,0,NA,NA,1,0
1,231,231,NA,0,NA,NA,400,0
0,307,241,NA,0,NA,NA,1,0
1,89,NA,NA,1,NA,NA,NA,1
1,276,92,NA,0,NA,NA,1,0
1,232,217,16,0,81,2,60,0
1,116,31,17,1,17,0,400,0
0,315,115,8,2,50,2,400,0
1,276,72,NA,0,NA,NA,400,1
0,375,113,NA,0,NA,NA,1,0
0,124,126,24,0,54,3,60,0
0,132,37,NA,0,NA,NA,1,0
1,262,102,91,0,91,0,1,0
1,197,93,51,0,68,0,400,0
0,289,92,NA,0,NA,NA,1,0
1,20,21,10,1,10,1,1,1
1,236,151,24,2,24,1,90,0
0,301,270,39,0,79,2,400,0
0,166,103,NA,0,NA,NA,1,0
0,374,NA,NA,0,NA,NA,NA,0
1,164,81,NA,0,NA,NA,1,0
0,118,119,24,0,54,0,1,0
0,351,80,11,0,11,0,400,0
0,103,56,16,0,40,0,60,0
1,21,NA,NA,0,NA,NA,NA,0
0,134,125,8,0,8,0,120,0
0,3,12,3,0,3,1,1,0
0,4,4,NA,0,NA,NA,1,0
1,320,95,8,0,51,2,400,0
0,148,146,NA,3,NA,NA,400,0
0,333,230,78,0,78,0,400,0
0,219,138,9,0,70,3,400,0
0,311,234,115,0,144,1,1,0
0,261,120,113,0,113,1,1,0
0,84,49,NA,0,NA,NA,1,0
0,325,195,NA,0,NA,NA,400,0
1,36,NA,NA,0,NA,NA,NA,0
0,335,195,NA,0,NA,NA,400,0
0,254,144,NA,0,NA,NA,400,0
1,242,91,24,0,58,1,400,0
0,161,139,99,1,102,1,400,0
0,236,10,NA,0,NA,NA,1,0
0,36,1,NA,0,NA,NA,1,0
1,NA,NA,NA,0,NA,NA,NA,0
0,364,177,31,0,101,1,1,0
0,345,81,NA,0,NA,NA,120,0
1,235,35,35,0,35,0,1,0
0,207,200,NA,1,NA,NA,1,0
1,180,82,81,1,81,0,400,0
0,285,92,54,0,54,1,400,0
1,346,83,59,0,68,0,60,0
0,203,190,42,0,44,1,1,0
0,236,NA,NA,1,NA,NA,NA,0
0,348,128,NA,0,NA,NA,30,0
0,328,63,12,0,12,1,1,0
0,260,130,122,3,122,1,1,0
1,229,148,NA,0,NA,NA,400,0
0,216,114,100,2,107,1,1,0
0,160,100,NA,0,NA,NA,1,0
0,101,101,NA,0,NA,NA,400,0
0,295,129,99,3,99,0,400,0
0,376,NA,NA,0,NA,NA,NA,0
0,258,82,NA,0,NA,NA,120,0
1,88,89,22,0,63,1,30,0
1,247,248,109,0,143,1,1,0
0,18,14,NA,0,NA,NA,120,0
1,354,190,14,5,54,4,60,0
0,294,274,NA,1,NA,NA,400,0
1,79,NA,NA,1,NA,NA,NA,0
1,14,11,NA,0,NA,NA,120,0
0,70,64,NA,0,NA,NA,400,1
0,298,31,NA,0,NA,NA,1,0
1,216,200,16,1,79,2,30,0
0,164,169,169,0,169,1,1,0
0,193,104,33,0,57,0,1,0
1,119,92,NA,0,NA,NA,1,0
1,138,103,71,0,87,1,400,0
0,304,130,25,0,67,1,1,0
0,316,152,42,1,79,2,400,0
1,22,NA,NA,0,NA,NA,NA,0
1,232,247,96,0,113,1,400,0
0,27,NA,NA,NA,NA,NA,NA,0
1,211,188,46,0,84,2,1,0
0,229,226,43,0,84,2,1,0
1,374,210,17,0,40,0,400,0
1,353,138,70,1,74,0,120,0
0,426,207,168,1,168,1,1,0
0,276,110,25,0,68,2,1,0
0,17,NA,NA,0,NA,NA,NA,0
1,212,95,NA,3,NA,NA,1,0
0,29,5,NA,0,NA,NA,60,0
0,187,188,30,1,59,1,1,0
1,283,96,76,0,76,0,1,0
0,163,74,NA,0,NA,NA,1,0
0,353,102,7,0,55,1,1,0
0,112,98,98,0,98,1,400,1
1,62,63,NA,0,NA,NA,1,0
0,267,135,84,2,84,1,400,0
0,9,9,6,0,8,2,1,0
0,257,126,81,0,104,1,1,1
0,321,220,28,2,41,2,1,0
1,80,79,NA,0,NA,NA,400,0
1,99,100,60,0,60,0,400,0
1,232,86,NA,0,NA,NA,120,0
0,115,15,15,2,15,1,1,0
1,242,51,NA,0,NA,NA,400,0
1,89,NA,NA,0,NA,NA,NA,0
0,373,182,182,0,182,1,400,0
0,112,100,NA,0,NA,NA,1,0
0,178,55,19,3,19,0,400,0
0,306,198,48,0,48,0,400,0
0,376,81,81,0,81,0,1,0
0,NA,NA,NA,0,NA,NA,NA,NA
0,163,56,NA,0,NA,NA,1,0
0,12,8,NA,0,NA,NA,1,1
0,315,10,10,0,10,1,1,0
0,169,160,NA,1,NA,NA,1,0
0,150,125,NA,0,NA,NA,400,0
0,133,134,NA,1,NA,NA,1,1
0,150,150,105,0,128,1,400,0
1,260,NA,NA,NA,NA,NA,NA,0
1,360,346,65,0,65,1,1,0
1,126,71,71,0,71,0,1,0
0,290,87,24,0,46,2,400,0
1,165,91,17,1,17,1,1,0
0,372,477,114,0,131,2,1,0
0,61,NA,NA,0,NA,NA,NA,0
0,123,116,9,1,77,4,60,0
1,NA,67,NA,0,NA,NA,1,NA
0,138,95,95,0,95,0,400,0
0,119,24,NA,0,NA,NA,1,0
0,160,161,NA,0,NA,NA,400,0
1,303,49,NA,0,NA,NA,400,0
0,256,NA,NA,0,NA,NA,NA,0
1,264,270,15,1,15,0,400,0
1,286,245,41,0,41,0,400,0
1,99,90,4,0,60,1,1,0
1,146,96,NA,0,NA,NA,400,0
0,195,128,77,0,88,3,400,0
0,105,71,24,0,48,2,1,0
0,381,95,NA,0,NA,NA,1,0
0,135,NA,NA,NA,NA,NA,NA,0
1,321,110,110,1,110,1,1,0
0,4,NA,NA,NA,NA,NA,NA,0
0,318,145,NA,0,NA,NA,1,0
0,381,43,43,0,43,1,1,0
0,321,179,176,0,176,1,1,0
0,326,NA,NA,NA,NA,NA,NA,0
0,296,157,41,1,87,0,400,0
1,367,333,30,3,76,1,60,0
1,175,NA,NA,0,NA,NA,NA,0
1,326,156,21,0,61,7,1,0
1,156,133,62,0,62,0,400,0
0,308,109,2,0,4,1,400,1
0,148,106,46,0,76,1,1,0
0,305,57,56,0,56,0,1,0
0,322,83,13,0,60,0,400,0
0,91,NA,NA,1,NA,NA,NA,0
0,245,135,NA,0,NA,NA,400,0
0,183,NA,NA,0,NA,NA,NA,1
1,378,122,77,0,77,1,400,1
0,23,NA,NA,0,NA,NA,NA,0
0,368,105,66,0,86,1,1,0
0,353,169,8,0,71,14,400,0
0,318,104,38,0,38,0,400,0
0,231,112,NA,0,NA,NA,400,0
0,240,54,27,1,37,3,1,0
0,54,57,NA,0,NA,NA,400,0
1,72,69,69,0,69,0,400,1
0,313,328,25,0,83,5,400,1
0,361,168,84,0,97,2,1,0
0,7,7,NA,0,NA,NA,1,1
1,234,130,28,0,81,1,400,0
0,248,118,107,0,107,0,400,0
1,281,169,64,1,112,1,120,0
0,327,134,27,0,86,3,400,0
0,243,113,113,0,113,0,1,0
0,326,238,30,0,114,3,1,0
0,218,167,95,0,123,2,30,0
0,108,107,34,1,74,2,90,0
0,409,304,57,0,107,3,1,0
1,260,128,59,1,76,0,400,0
0,337,279,73,0,73,0,400,0
0,99,78,NA,0,NA,NA,400,0
0,298,292,5,0,60,1,1,0
0,134,72,NA,0,NA,NA,400,1
0,159,108,NA,0,NA,NA,1,0
0,337,155,51,0,103,4,400,0
0,13,NA,NA,0,NA,NA,NA,0
0,165,136,9,0,71,3,30,0
1,167,137,24,1,76,2,400,0
0,374,267,155,0,155,1,400,0
0,69,52,NA,0,NA,NA,120,0
0,168,64,34,2,34,1,400,0
0,187,123,10,0,46,1,90,0
0,333,342,2,0,112,4,1,0
0,192,5,NA,0,NA,NA,1,0
0,41,15,NA,0,NA,NA,400,0
1,253,120,8,1,45,2,30,0
0,353,206,172,0,172,0,1,0
0,220,110,77,2,77,0,400,0
0,347,207,NA,0,NA,NA,1,0
0,41,41,28,0,28,0,400,0
1,105,103,NA,0,NA,NA,400,0
0,118,111,46,0,46,1,1,0
0,157,220,11,1,11,2,1,0
0,347,251,NA,0,NA,NA,1,0
0,52,34,NA,0,NA,NA,30,0
1,198,120,NA,0,NA,NA,400,0
0,247,245,64,0,64,1,60,0
1,244,65,NA,0,NA,NA,1,0
0,40,41,NA,0,NA,NA,1,0
0,220,180,26,0,26,1,1,0
0,164,89,31,0,31,0,60,0
1,136,76,10,1,10,0,60,0
0,353,303,NA,0,NA,NA,1,0
1,378,61,NA,0,NA,NA,400,0
0,134,119,NA,0,NA,NA,400,0
0,101,85,NA,1,NA,NA,1,0
0,269,133,32,0,86,1,60,0
0,17,5,NA,0,NA,NA,30,0
0,356,260,75,0,114,0,1,0
0,160,115,96,0,96,0,1,0
0,181,118,61,0,92,2,400,0
1,79,71,24,0,48,1,1,0
1,172,163,28,0,72,2,30,0
1,330,NA,NA,NA,NA,NA,NA,0
1,193,121,70,0,83,0,1,0
0,271,101,101,0,101,0,400,0
0,152,44,NA,0,NA,NA,1,1
0,11,12,NA,0,NA,NA,1,0
0,303,125,NA,1,NA,NA,120,0
1,174,NA,NA,0,NA,NA,NA,1
0,167,103,5,1,41,1,30,0
0,262,226,5,0,60,3,400,0
1,222,54,54,0,54,1,400,0
1,177,90,25,0,25,0,400,0
1,318,123,NA,0,NA,NA,400,0
1,128,144,NA,1,NA,NA,90,0
1,296,94,NA,0,NA,NA,1,0
0,156,146,NA,0,NA,NA,400,0
0,256,231,90,0,109,1,1,0
0,216,57,NA,1,NA,NA,400,0
0,204,93,84,0,84,0,1,0
0,91,91,91,0,91,0,400,0
1,202,78,NA,0,NA,NA,400,0
1,295,117,96,1,96,0,1,0
0,446,119,31,0,75,3,1,0
0,315,148,36,0,92,2,30,0
0,345,178,17,0,61,3,1,0
0,215,104,47,0,47,0,1,0
1,381,432,NA,0,NA,NA,400,0
1,46,NA,NA,0,NA,NA,NA,0
0,284,106,NA,0,NA,NA,60,0
0,214,213,94,5,109,1,400,0
0,222,145,12,0,25,1,120,0
0,279,90,25,1,50,0,1,0
0,218,128,NA,0,NA,NA,1,0
1,241,130,14,1,69,18,400,0
0,178,168,102,0,102,1,1,0
0,271,258,36,1,79,1,400,0
0,302,129,NA,1,NA,NA,1,0
0,380,186,34,0,67,0,30,0
1,107,44,28,1,28,1,1,0
0,85,83,NA,0,NA,NA,400,0
0,215,52,NA,0,NA,NA,1,0
0,95,93,NA,0,NA,NA,1,0
0,127,99,99,0,99,0,400,0
1,148,49,NA,0,NA,NA,1,0
0,185,16,NA,0,NA,NA,1,0
0,261,98,49,0,74,2,400,0
0,207,164,99,0,115,1,60,0
1,254,81,81,0,81,0,400,0
0,240,99,99,0,99,1,1,0
0,171,155,47,0,101,2,400,0
0,278,210,96,0,122,2,1,0
1,153,35,NA,1,NA,NA,400,0
0,295,91,59,0,65,0,400,0
0,120,NA,NA,0,NA,NA,1,1
1,80,80,NA,0,NA,NA,400,0
0,15,NA,NA,0,NA,NA,NA,0
0,383,138,NA,0,NA,NA,1,0
1,278,87,46,0,46,1,400,1
0,41,43,NA,0,NA,NA,1,0
0,223,90,NA,0,NA,NA,1,0
0,157,103,7,1,53,1,1,0
0,118,62,62,0,62,0,1,1
0,238,66,NA,1,NA,NA,1,0
0,66,67,NA,0,NA,NA,1,0
0,289,NA,NA,NA,NA,NA,NA,0
0,156,152,73,0,73,0,400,0
0,157,123,123,0,123,1,1,0
1,289,106,99,1,99,0,1,0
1,275,80,14,0,25,0,400,0
1,19,8,NA,0,NA,NA,1,1
1,281,81,5,0,43,1,400,0
0,245,240,10,2,10,0,30,0
1,48,23,NA,0,NA,NA,400,0
0,319,NA,NA,0,NA,NA,NA,0
1,30,28,NA,0,NA,NA,1,0
0,216,155,15,0,88,1,60,0
1,65,56,NA,1,NA,NA,400,0
0,273,114,30,1,30,0,400,0
1,233,82,23,1,40,0,400,0
0,143,NA,NA,0,NA,NA,NA,1
1,280,187,76,0,76,0,400,0
1,120,101,NA,0,NA,NA,400,0
1,332,122,NA,0,NA,NA,1,0
1,34,33,28,0,28,0,400,0
0,166,78,39,0,58,1,400,0
1,191,119,64,1,100,2,400,0
0,298,NA,NA,0,NA,NA,NA,0
1,142,2,NA,0,NA,NA,1,0
0,80,6,NA,0,NA,NA,1,1
1,104,NA,NA,NA,NA,NA,NA,0
1,188,176,13,0,81,3,30,1
0,239,99,42,1,78,1,400,0
1,38,32,NA,0,NA,NA,1,1
1,89,88,9,0,32,0,400,1
0,288,66,27,0,47,2,1,0
0,334,211,18,2,87,1,1,0
1,354,117,117,2,117,1,120,1
0,264,193,62,0,62,0,400,0
0,284,144,NA,0,NA,NA,120,0
0,189,107,36,0,60,1,400,0
0,256,179,9,4,57,7,400,0
0,174,289,NA,0,NA,NA,120,0
0,237,207,49,0,77,0,400,1
0,351,366,6,0,43,1,1,0
1,5,NA,NA,0,NA,NA,NA,0
1,339,305,43,0,43,0,1,0
1,182,59,NA,1,NA,NA,400,1
0,121,94,NA,0,NA,NA,1,0
1,135,115,1,0,43,6,120,0
0,157,146,NA,1,NA,NA,1,0
1,294,256,32,0,90,1,400,0
1,322,NA,NA,0,NA,NA,NA,0
0,288,88,62,0,69,0,400,0
0,339,NA,NA,NA,NA,NA,NA,0
1,139,34,NA,0,NA,NA,400,0
0,91,68,NA,0,NA,NA,400,0
0,159,134,89,0,93,0,1,0
0,317,272,94,0,94,0,400,0
0,165,150,51,1,81,0,30,0
0,69,59,45,0,45,0,400,0
1,374,62,NA,0,NA,NA,400,0
0,3,1,NA,0,NA,NA,1,0
1,292,142,NA,0,NA,NA,1,0
0,NA,76,27,1,27,1,1,0
1,84,84,NA,0,NA,NA,1,0
1,284,85,15,0,46,0,400,0
1,173,23,22,0,22,0,400,0
0,135,72,41,0,55,1,400,0
0,215,119,NA,0,NA,NA,400,0
1,170,166,NA,0,NA,NA,1,0
0,122,NA,NA,0,NA,NA,NA,0
1,75,72,49,0,49,0,400,0
1,25,18,NA,0,NA,NA,400,0
0,9,7,NA,1,NA,NA,1,0
0,383,361,NA,0,NA,NA,1,0
1,47,26,NA,0,NA,NA,400,0
1,222,120,NA,1,NA,NA,400,0
0,284,273,48,0,86,1,120,0
0,185,175,61,0,73,0,30,1
1,309,217,2,0,85,2,1,1
0,200,201,9,2,60,2,400,0
0,342,117,NA,0,NA,NA,1,0
0,378,113,NA,0,NA,NA,1,0
1,346,176,89,0,95,1,400,0
0,298,89,NA,0,NA,NA,400,0
1,151,98,NA,0,NA,NA,120,0
0,352,118,2,1,60,2,400,0
0,NA,NA,NA,0,NA,NA,NA,1
0,221,157,11,1,38,0,400,1
1,119,30,NA,0,NA,NA,400,0
0,263,256,98,0,118,2,1,0
0,351,243,104,0,131,3,1,0
0,172,152,NA,0,NA,NA,400,0
0,124,77,NA,4,NA,NA,400,1
0,206,152,30,0,30,1,400,0
0,221,63,NA,0,NA,NA,1,0
0,119,121,NA,0,NA,NA,1,0
1,350,75,4,0,24,2,1,0
0,368,205,NA,0,NA,NA,1,0
0,146,110,86,0,98,1,1,0
1,235,157,93,0,99,1,400,0
0,247,102,102,0,102,0,60,0
0,240,105,NA,0,NA,NA,1,0
0,102,102,102,1,102,0,1,0
0,12,NA,NA,0,NA,NA,NA,0
1,303,103,103,0,103,0,1,0
1,300,136,39,0,96,2,400,0
0,302,NA,NA,NA,NA,NA,NA,1
1,216,NA,NA,NA,NA,NA,NA,0
0,6,NA,NA,NA,NA,NA,NA,0
0,225,91,NA,0,NA,NA,1,0
0,372,232,64,0,64,0,1,0
0,127,101,96,0,96,0,1,0
0,24,NA,NA,1,NA,NA,1,1
0,119,115,62,0,68,1,1,0
1,128,125,28,0,52,1,1,0
0,348,NA,NA,NA,NA,NA,NA,0
0,335,129,129,0,129,1,1,0
0,19,NA,NA,0,NA,NA,NA,0
0,152,84,NA,0,NA,NA,1,0
0,162,100,100,0,100,0,1,0
0,164,162,87,0,95,2,400,0
0,303,280,NA,0,NA,NA,1,0
0,281,88,88,0,88,1,1,0
0,85,NA,NA,0,NA,NA,NA,0
0,96,NA,NA,NA,NA,NA,NA,0
0,128,118,8,4,64,2,120,0
1,269,199,63,0,93,1,120,0
0,210,4,NA,0,NA,NA,1,0
0,206,253,NA,0,NA,NA,1,0
0,315,128,NA,0,NA,NA,400,0
0,157,152,54,0,54,0,1,0
0,204,221,NA,0,NA,NA,120,0
1,349,107,NA,0,NA,NA,1,0
0,349,510,71,0,79,1,1,0
0,248,NA,NA,NA,NA,NA,NA,0
1,NA,NA,NA,NA,NA,NA,NA,NA
0,170,137,NA,0,NA,NA,1,0
0,208,NA,NA,NA,NA,NA,NA,0
1,360,268,27,1,37,2,1,0
0,209,77,NA,0,NA,NA,400,0
0,106,48,3,1,26,2,1,0
0,239,170,110,1,140,1,30,0
1,275,152,13,1,35,0,400,0
0,212,27,NA,0,NA,NA,1,0
1,279,105,30,0,61,0,400,0
1,284,112,56,0,68,0,60,0
0,304,294,64,0,98,1,1,1
1,157,137,NA,0,NA,NA,400,0
1,214,10,NA,1,NA,NA,1,0
0,356,194,80,0,80,0,400,0
0,145,104,96,0,100,2,1,0
1,239,104,NA,0,NA,NA,1,0
1,99,NA,NA,0,NA,NA,NA,0
1,107,45,NA,0,NA,NA,400,0
1,322,NA,NA,NA,NA,NA,NA,0
0,NA,NA,NA,NA,NA,NA,NA,0
0,260,245,88,0,96,1,400,0
0,184,52,NA,0,NA,NA,60,0
0,314,53,NA,3,NA,NA,400,0
1,142,NA,NA,NA,NA,NA,NA,0
0,132,126,126,0,126,1,1,0
0,277,123,44,2,44,1,1,0
0,124,107,NA,0,NA,NA,1,0
1,244,100,30,0,52,0,1,0
1,25,NA,NA,0,NA,NA,NA,0
1,238,171,NA,0,NA,NA,1,0
1,339,115,NA,0,NA,NA,400,0
1,55,6,NA,3,NA,NA,1,1
1,123,62,NA,0,NA,NA,1,0
0,208,209,NA,0,NA,NA,400,0
0,234,128,3,0,47,1,1,0
0,173,154,68,1,102,2,400,0
0,297,157,82,1,109,2,1,0
1,162,286,NA,1,NA,NA,400,0
1,340,125,92,0,92,0,400,0
0,315,216,78,0,78,0,400,0
0,87,77,NA,0,NA,NA,400,0
1,243,45,NA,0,NA,NA,1,0
0,119,119,NA,0,NA,NA,1,0
0,335,98,59,2,63,1,400,0
0,112,45,NA,0,NA,NA,400,0
0,290,160,68,0,68,0,1,0
0,128,252,45,1,84,0,1,0
1,314,269,22,4,78,2,400,0
0,148,88,70,0,70,1,400,0
0,341,148,148,0,148,0,1,0
0,139,109,109,0,109,1,1,0
1,79,80,NA,0,NA,NA,400,0
0,171,172,73,0,73,0,1,0
1,27,27,15,0,15,1,1,0
1,341,131,10,2,63,1,400,0
0,233,87,86,0,87,0,400,0
1,224,78,NA,0,NA,NA,400,0
0,305,169,169,0,169,1,1,0
1,240,94,39,0,67,0,400,0
0,309,196,158,0,158,0,1,0
0,347,356,25,0,39,1,30,0
1,28,17,NA,0,NA,NA,1,0
1,52,53,NA,0,NA,NA,400,0
0,326,326,NA,0,NA,NA,1,0
1,79,39,NA,0,NA,NA,1,0
1,230,212,62,0,76,1,400,0
0,149,NA,NA,2,NA,NA,NA,0
0,289,195,108,0,148,2,1,0
0,168,153,146,0,146,1,1,0
0,339,166,NA,0,NA,NA,1,0
1,277,144,10,0,65,8,30,0
1,121,12,NA,1,NA,NA,1,0
1,209,175,94,2,115,1,1,0
0,315,221,NA,0,NA,NA,1,0
0,71,NA,NA,NA,NA,NA,NA,0
1,154,140,21,0,21,0,400,0
0,116,114,28,0,53,1,1,0
0,324,147,NA,2,NA,NA,1,0
0,16,NA,NA,0,NA,NA,NA,1
0,301,171,171,0,171,0,90,0
0,169,97,24,0,51,1,1,0
0,350,NA,NA,NA,NA,NA,NA,0
1,12,1,NA,0,NA,NA,1,0
0,353,252,NA,0,NA,NA,1,0
